step,distRaced,distFromStart,section,speedX,base_target_speed,proposed_target_speed,target_adjustment,target_speed,rl_target_active,safety_intervention,policy_inference,action_reused,adaptive_inference_urgent,trackPos,angle,damage,curLapTime,lastLapTime,best_lap_time,steer,residual,accel,brake,gear,reward,done_reason
83,2.35059,3600.8,normal,27.1946,136.0,101.033451,-34.966549,136.0,1,0,1,0,0,0.329982,0.008877,0.0,0.702,0.0,,0.0,-0.535052,1.0,0.0,1,0.145702,
84,2.50464,3600.95,normal,28.1522,136.0,98.550065,-37.449935,136.0,1,0,1,0,0,0.329755,0.008875,0.0,0.722,0.0,,0.0,-0.567096,1.0,0.0,1,0.151187,
85,2.66382,3601.11,normal,29.1106,136.0,95.649176,-40.350824,136.0,1,0,1,0,0,0.329518,0.008872,0.0,0.742,0.0,,0.0,-0.604527,1.0,0.0,1,0.155964,
86,2.82861,3601.28,normal,30.069,136.0,95.065308,-40.934692,136.0,1,0,1,0,0,0.329274,0.008869,0.0,0.762,0.0,,0.0,-0.612061,1.0,0.0,1,0.161135,
87,2.99854,3601.45,normal,31.0264,136.0,94.753755,-41.246245,136.0,1,0,1,0,0,0.329022,0.008866,0.0,0.782,0.0,,0.0,-0.616081,1.0,0.0,1,0.166184,
88,3.17383,3601.62,normal,31.9823,136.0,94.424492,-41.575508,136.0,1,0,1,0,0,0.328762,0.008864,0.0,0.802,0.0,,0.0,-0.620329,1.0,0.0,1,0.171494,
89,3.35449,3601.8,normal,32.9376,136.0,94.08519,-41.91481,136.0,1,0,1,0,0,0.328494,0.008862,0.0,0.822,0.0,,0.0,-0.624707,1.0,0.0,1,0.176812,
90,3.54028,3601.99,normal,33.8937,136.0,93.419924,-42.580076,136.0,1,0,1,0,0,0.328218,0.008859,0.0,0.842,0.0,,0.0,-0.633291,1.0,0.0,1,0.181887,
91,3.73145,3602.18,normal,34.851,136.0,93.123301,-42.876699,136.0,1,0,1,0,0,0.327935,0.008857,0.0,0.862,0.0,,0.0,-0.637119,1.0,0.0,1,0.187159,
92,3.92798,3602.38,normal,35.8105,136.0,92.826572,-43.173428,136.0,1,0,1,0,0,0.327644,0.008854,0.0,0.882,0.0,,0.0,-0.640947,1.0,0.0,1,0.192471,
93,4.12988,3602.58,normal,36.7727,136.0,92.517902,-43.482098,136.0,1,0,1,0,0,0.327345,0.008851,0.0,0.902,0.0,,0.0,-0.64493,1.0,0.0,1,0.197792,
94,4.33716,3602.78,normal,37.7377,136.0,92.195941,-43.804059,136.0,1,0,1,0,0,0.327038,0.008848,0.0,0.922,0.0,,0.0,-0.649085,1.0,0.0,1,0.203121,
95,4.54956,3603.0,normal,38.7053,136.0,91.649527,-44.350473,136.0,1,0,1,0,0,0.326722,0.008845,0.0,0.942,0.0,,0.0,-0.656135,1.0,0.0,1,0.208187,
96,4.76758,3603.21,normal,39.6751,136.0,91.286662,-44.713338,136.0,1,0,1,0,0,0.3264,0.008842,0.0,0.962,0.0,,0.0,-0.660817,1.0,0.0,1,0.213715,
97,4.99097,3603.44,normal,40.6467,136.0,82.493364,-53.506636,136.0,1,0,1,0,0,0.326069,0.008839,0.0,0.982,0.0,,0.0,-0.774279,1.0,0.0,1,0.219023,
98,5.24292,3603.69,normal,41.7171,136.0,82.464867,-53.535133,136.0,1,0,1,0,0,0.325696,0.008835,0.0,1.004,0.0,,-0.16,-0.774647,1.0,0.0,1,0.245955,
